Name,MODEL,Classification,MAX_POWER,IO_IDLE_CURRENT@10V,LENGTH,KT,ESC/BEC_Class,CAN_LENGTH,TOTAL_LENGTH,KM,SHAFT_DIAMETER,WEIGHT,Poles,INTERNAL_RESISTANCE,CONTROL_CHANNEL,ADAPTER_LENGTH,MAX_CURRENT,Max_#_of_Cells,KV,COST,CAN_DIAMETER,Min_#_of_Cells,PROP_SIZE_REC.,PROP_PITCH_REC.,ESC_PWM_RATE_MIN,ADAPTER_DIAMETER,ESC_PWM_RATE_MAX,COST_ADAPTER,ESC_RATE,surface_area,density,coordIxx,coordIxy,coordIxz,coordIyx,coordIyy,coordIyz,coordIzx,coordIzy,coordIzz,cgIxx,cgIxy,cgIxz,cgIyx,cgIyy,cgIyz,cgIzx,cgIzy,cgIzz,CREO_DESCRIPTION,CREO_MODELED_BY,CREO_CAN_DIAMETER,CREO_CAN_LENGTH,CREO_SHAFT_DIAMETER,CREO_TOTAL_LENGTH,CREO_LENGTH,CREO_WEIGHT
t_motor_MN3520KV400,MN3520KV400,Motor,1140.0,1.2,42.0,0.0238732414637843,2.0,20.0,50.6,0.08336897548264713,4.0,0.222,12N14P,82.0,1,"(31.5, 31.5)",38.0,8.0,400.0,109.9,42.5,4.0,"(14.0, 18.0)","(4.0, 6.0)",,"(6.0, 8.0)",,,,7162.564473193161,5.2327113769512685e-06,77.32159101246818,0.0,0.0,0.0,40.062979291808375,-0.19318072480137616,0.0,-0.19318072480137616,77.10081653235582,23.89701122646434,0.0,0.0,0.0,40.06243735788693,-0.023026975701422592,0.0,-0.023026975701422592,23.67677868027344,,,42.5,20.0,4.0,50.6,42.0,0.222
kde_direct_KDE2306XF2550,KDE2306XF_2550,Motor,629.0,1.2,18.0,0.0037,1.0,6.0,21.5,0.0179,4.0,0.042,12S14P,44.0,1,9.0,34.0,5.0,2550.0,28.95,28.3,2.0,"(5.0, 8.0)","(3.0, 5.0)",,5.0,,,,4134.280995197887,5.2327113769512685e-06,30.725404287203887,0.0,0.0,0.0,8.837075545832409,-0.13693656519471187,0.0,-0.13693656519471165,30.617003942025704,21.3307171267681,0.0,0.0,0.0,8.83684990351827,-0.09089540929020956,0.0,-0.09089540929020935,21.222542423904052,,,28.3,6.0,4.0,21.5,18.0,0.042
t_motor_AT2317KV1250,AT2317KV1250,Motor,550.0,1.3,36.0,0.007639437268410976,3.0,17.0,52.0,0.033501148596264164,4.0,0.079,12N14P,52.0,1,23.0,40.0,4.0,1250.0,39.99,28.8,2.0,"(8.0, 11.0)","(4.0, 7.0)",,6.0,,,,4318.765284196598,5.2327113769512685e-06,30.60979853957744,0.0,0.0,0.0,8.553397918563288,-0.13892018544913154,0.0,-0.13892018544913154,30.498098263043257,11.82348301700412,0.0,0.0,0.0,8.552928614503925,-0.045025170198442446,0.0,-0.04502517019844243,11.7122520445293,,,28.8,17.0,4.0,52.0,36.0,0.079
t_motor_AT4130KV300,AT4130KV300,Motor,3200.0,1.8,55.0,0.03183098861837907,3.0,30.0,79.0,0.17794063585429426,6.0,0.405,12N14P,32.0,1,"(35.0, 40.0)",75.0,12.0,300.0,119.99,50.0,6.0,"(15.0, 20.0)","(7.0, 11.0)",,"(8.0, 10.0)",,,,9361.790948789938,5.2327113769512685e-06,116.49912462746653,0.0,0.0,0.0,74.71675425011901,-0.22288161526878403,0.0,-0.22288161526878447,116.20333524469726,21.144830263005765,0.0,0.0,0.0,74.71606013622525,0.0343852865157957,0.0,0.034385286515795255,20.84973499413026,,,50.0,30.0,6.0,79.0,55.0,0.405
kde_direct_KDE4014XF_380,KDE4014XF_380,Motor,1065.0,0.5,32.0,0.0251,1.0,14.0,41.75,0.0918,5.0,0.215,18S24P,75.0,1,"(20.0, 20.0)",36.0,8.0,380.0,118.95,46.5,4.0,"(16.0, 22.0)","(4.0, 8.0)",,"(6.0, 8.0)",,19.95,,8149.18330057278,5.2327113769512685e-06,100.707889457321,0.0,0.0,0.0,61.33762119678481,-0.20902261748540507,0.0,-0.20902261748540485,100.44845149676127,51.51325139071402,0.0,0.0,0.0,61.337231827066766,-0.07062192838064602,0.0,-0.0706219283806458,51.25420279987233,,,46.5,14.0,5.0,41.75,32.0,0.215
t_motor_AT2826KV1100,AT2826KV1100,Motor,900.0,2.9,49.0,0.008681178714103382,3.0,26.0,69.5,0.02617473866609172,5.0,0.17500000000000002,12N14P,110.0,1,"(30.0, 36.0)",59.0,4.0,1100.0,69.99,35.2,3.0,"(12.0, 15.0)","(5.0, 8.0)",,"(6.0, 8.0)",,,,5712.603982763283,5.2327113769512685e-06,47.93425652273701,0.0,0.0,0.0,18.16139360797968,-0.164261946126113,0.0,-0.16426194612611322,47.776138046616765,5.895112387975091,0.0,0.0,0.0,18.160706963838685,0.005636436834100894,0.0,0.005636436834100672,5.737680555995841,,,35.2,26.0,5.0,69.5,49.0,0.17500000000000002
t_motor_AS2308KV1450,AS2308KV1450,Motor,275.0,0.74,26.0,0.006585721783112911,3.0,8.0,40.5,0.02220046360197951,4.0,0.049,12N14P,88.0,1,"(24.0, 28.0)",24.0,4.0,1450.0,18.99,29.4,2.0,"(7.0, 10.0)","(5.0, 7.0)",,"(5.0, 6.0)",,,,4419.123326431602,5.2327113769512685e-06,32.3391903508228,0.0,0.0,0.0,9.453838197553008,-0.14129701414162765,0.0,-0.14129701414162787,32.223469148470315,20.800315863605835,0.0,0.0,0.0,9.453568083520485,-0.08546925261630973,0.0,-0.08546925261630996,20.684864775285874,,,29.4,8.0,4.0,40.5,26.0,0.049
t_motor_AT2826KV900,AT2826KV900,Motor,820.0,2.2,49.0,0.01061032953945969,3.0,26.0,69.5,0.0684893826735,5.0,0.17500000000000002,12N14P,24.0,1,"(30.0, 36.0)",57.0,4.0,900.0,69.99,35.2,3.0,"(12.0, 16.0)","(6.0, 9.0)",,"(6.0, 8.0)",,,,5712.603982763283,5.2327113769512685e-06,47.93425652273701,0.0,0.0,0.0,18.16139360797968,-0.164261946126113,0.0,-0.16426194612611322,47.776138046616765,5.895112387975091,0.0,0.0,0.0,18.160706963838685,0.005636436834100894,0.0,0.005636436834100672,5.737680555995841,,,35.2,26.0,5.0,69.5,49.0,0.17500000000000002
t_motor_AS2312KV1400,AS2312KV1400,Motor,334.0,1.05,30.0,0.006820926132509801,3.0,12.0,44.5,0.030504109003593304,4.0,0.063,12N14P,50.0,1,"(24.0, 28.0)",30.0,4.0,1400.0,19.99,29.4,3.0,"(7.0, 9.0)","(5.0, 7.0)",,"(5.0, 6.0)",,,,4419.123326431602,5.2327113769512685e-06,32.3391903508228,0.0,0.0,0.0,9.453838197553008,-0.14129701414162765,0.0,-0.14129701414162787,32.223469148470315,17.50349458154384,0.0,0.0,0.0,9.453490908082621,-0.06951846360907604,0.0,-0.06951846360907626,17.38812066866175,,,29.4,12.0,4.0,44.5,30.0,0.063
t_motor_AS2814KV1200,AS2814KV1200,Motor,885.0,2.21,36.0,0.007957747154594767,3.0,14.0,54.5,0.05012909516045148,5.0,0.112,12N14P,25.2,1,30.0,61.0,4.0,1200.0,33.99,36.2,3.0,"(8.0, 12.0)","(4.0, 7.0)",,6.0,,,,5900.680271059017,5.2327113769512685e-06,51.705864200996885,0.0,0.0,0.0,20.724491281364365,-0.16822519654729362,0.0,-0.16822519654729362,51.539764275816964,24.99348937179979,0.0,0.0,0.0,20.724090614390995,-0.06477179718159685,0.0,-0.06477179718159685,24.827790113593245,,,36.2,14.0,5.0,54.5,36.0,0.112
t_motor_MT22081100KV,MT22081100KV,Motor,180.0,0.1,24.5,0.008681178714103382,3.0,8.0,48.0,0.021371584627540637,5.0,0.045,12N14P,165.0,1,,12.0,4.0,1100.0,43.9,27.5,3.0,"(8.0, 11.0)","(2.0, 4.0)",,,,,,4235.722718030402,5.2327113769512685e-06,28.237077306780172,0.0,0.0,0.0,7.385745263880218,-0.1337716208729295,0.0,-0.13377162087292938,28.133855261302102,18.37166738533317,0.0,0.0,0.0,7.3854715266162465,-0.08180571485975222,0.0,-0.0818057148597521,18.26871907711907,,,27.5,8.0,5.0,48.0,24.5,0.045
t_motor_MN2212KV920,MN2212KV920,Motor,220.0,0.5,16.0,0.010379670201645347,2.0,12.0,32.6,0.02754478472337756,4.0,0.065,9N12P,142.0,1,24.0,15.0,4.0,920.0,46.9,24.0,2.0,"(7.0, 9.0)","(2.0, 3.0)",,5.0,,,,3420.416030570708,5.2327113769512685e-06,21.913754439484556,0.0,0.0,0.0,4.961175203848837,-0.1199066173511012,0.0,-0.1199066173511012,21.83173433910205,8.513316942609062,0.0,0.0,0.0,4.960715286519824,-0.0414025926312072,0.0,-0.0414025926312072,8.431756759555565,,,24.0,12.0,4.0,32.6,16.0,0.065
t_motor_AS2317KV1400,AS2317KV1400,Motor,712.0,1.68,36.0,0.006820926132509801,3.0,17.0,52.0,0.03635565844149482,4.0,0.081,12N14P,35.2,1,"(24.0, 28.0)",48.0,4.0,1400.0,21.95,29.4,3.0,"(8.0, 10.0)","(5.0, 7.0)",,"(5.0, 6.0)",,,,4434.727140873214,5.2327113769512685e-06,32.1141700608251,0.0,0.0,0.0,9.302170682048041,-0.14129689161989223,0.0,-0.141296891619892,31.99844868172661,12.87675818795047,0.0,0.0,0.0,9.301713786547623,-0.047545741382117715,0.0,-0.04754574138211749,12.761493704352393,,,29.4,17.0,4.0,52.0,36.0,0.081
t_motor_AS2308KV2600,AS2308KV2600,Motor,326.0,1.62,26.0,0.003672806379043739,3.0,8.0,40.5,0.021204957516222773,4.0,0.049,12N14P,30.0,1,"(24.0, 28.0)",29.0,4.0,2600.0,18.99,29.4,2.0,"(4.0, 8.0)","(3.0, 6.0)",,"(5.0, 6.0)",,,,4419.123326431602,5.2327113769512685e-06,32.3391903508228,0.0,0.0,0.0,9.453838197553008,-0.14129701414162765,0.0,-0.14129701414162787,32.223469148470315,20.800315863605835,0.0,0.0,0.0,9.453568083520485,-0.08546925261630973,0.0,-0.08546925261630996,20.684864775285874,,,29.4,8.0,4.0,40.5,26.0,0.049
t_motor_MN4010KV580,MN4010KV580,Motor,575.0,1.3,30.0,0.016464304457782276,2.0,10.0,39.1,0.08033757960698291,4.0,0.137,18N24P,42.0,1,"(31.5, 31.5)",31.0,8.0,580.0,86.9,44.7,4.0,"(12.0, 15.0)","(4.0, 6.0)",,"(6.0, 8.0)",,,,7692.615887698452,5.2327113769512685e-06,89.50113481451112,0.0,0.0,0.0,50.78464790547637,-0.20189359287974806,0.0,-0.20189359287974806,89.25947601910752,57.37826372693603,0.0,0.0,0.0,50.784364424332026,-0.10646745445818688,0.0,-0.10646745445818688,57.13688841267678,,,44.7,10.0,4.0,39.1,30.0,0.137
kde_direct_KDE2315XF965,KDE2315XF965,Motor,384.0,0.5,28.5,0.0099,1.0,15.0,35.25,0.031,4.0,0.075,12S14P,102.0,1,12.0,26.0,4.0,965.0,60.95,28.3,3.0,"(9.0, 12.0)","(3.0, 5.0)",,6.0,,,,4114.60986375881,5.2327113769512685e-06,30.46612044530081,0.0,0.0,0.0,8.66159024630726,-0.13693656283800548,0.0,-0.13693656283800548,30.357719799958826,13.373918993719492,0.0,0.0,0.0,8.66117459907142,-0.0526504220725785,0.0,-0.0526504220725785,13.265933995613349,,,28.3,15.0,4.0,35.25,28.5,0.075
t_motor_AS2820KV880,AS2820KV880,Motor,626.0,2.0,42.0,0.010851473392629226,3.0,20.0,62.2,0.058850377276750604,5.0,0.136,12N14P,34.0,1,30.0,45.0,4.0,880.0,34.0,36.2,3.0,"(11.0, 14.0)","(5.0, 7.0)",,6.0,,,,5927.3838076677675,5.2327113769512685e-06,51.74733259368238,0.0,0.0,0.0,20.725037173305637,-0.16822490590921158,0.0,-0.16822490590921158,51.58123491317418,19.47558301232384,0.0,0.0,0.0,20.72455188903315,-0.043082039485790896,0.0,-0.043082039485790896,19.309970616088123,,,36.2,20.0,5.0,62.2,42.0,0.136
t_motor_MN3508KV700,MN3508KV700,Motor,510.0,0.5,27.0,0.013641852265019601,2.0,8.0,35.1,0.050840181672655506,4.0,0.10400000000000001,12N14P,72.0,1,26.0,23.0,4.0,700.0,69.9,41.8,3.0,"(11.0, 13.0)","(3.0, 5.0)",,6.0,,,,6985.904602648997,5.2327113769512685e-06,75.74551779328537,0.0,0.0,0.0,39.14233639787321,-0.19040718318755978,0.0,-0.19040718318755934,75.5311925016659,51.43438966392905,0.0,0.0,0.0,39.14208812887391,-0.1127178157359246,0.0,-0.11271781573592415,51.22031264130888,,,41.8,8.0,4.0,35.1,27.0,0.10400000000000001
t_motor_MN5212KV420,MN5212KV420,Motor,1440.0,1.1,33.5,0.022736420441699334,2.0,12.0,42.5,0.08655607334761847,4.0,0.249,24N22P,69.0,1,31.5,60.0,8.0,420.0,109.9,59.0,4.0,"(14.0, 18.0)","(5.0, 7.0)",,6.0,,,,11504.109627332855,5.2327113769512685e-06,189.8333005357701,0.0,0.0,0.0,155.4292608305239,-0.2585498928740968,0.0,-0.25854989287409635,189.43313303538827,132.09178301686427,0.0,0.0,0.0,155.4289874193385,-0.1329031579415758,0.0,-0.13290315794157537,131.6918889276679,,,59.0,12.0,4.0,42.5,33.5,0.249
kde_direct_KDE2814XF_515,KDE2814XF_515,Motor,532.0,0.3,31.7,0.0185,1.0,14.0,41.45,0.0514,4.0,0.125,12S14P,130.0,1,15.0,24.0,6.0,515.0,71.95,35.5,4.0,"(12.0, 16.0)","(3.0, 6.0)",,6.0,,,,5598.9864159786775,5.2327113769512685e-06,50.779396004450014,0.0,0.0,0.0,20.467257256546922,-0.16545217982790383,0.0,-0.16545217982790406,50.618892500207394,21.600934718871052,0.0,0.0,0.0,20.46682550242829,-0.05321255035703748,0.0,-0.0532125503570377,21.44086296874706,,,35.5,14.0,4.0,41.45,31.7,0.125
t_motor_AS2317KV1250,AS2317KV1250,Motor,596.0,1.7,36.0,0.007639437268410976,3.0,17.0,52.0,0.0341646020840245,4.0,0.081,12N14P,50.0,1,"(24.0, 28.0)",40.0,4.0,1250.0,21.95,29.4,3.0,"(8.0, 11.0)","(5.0, 7.0)",,"(5.0, 6.0)",,,,4434.727140873214,5.2327113769512685e-06,32.1141700608251,0.0,0.0,0.0,9.302170682048041,-0.14129689161989223,0.0,-0.141296891619892,31.99844868172661,12.87675818795047,0.0,0.0,0.0,9.301713786547623,-0.047545741382117715,0.0,-0.04754574138211749,12.761493704352393,,,29.4,17.0,4.0,52.0,36.0,0.081
t_motor_MN4010KV475,MN4010KV475,Motor,540.0,0.8,30.0,0.020103782285292044,2.0,10.0,39.1,0.06421917684967011,4.0,0.137,18N24P,98.0,1,"(31.5, 31.5)",30.0,8.0,475.0,86.9,44.7,4.0,"(12.0, 16.0)","(4.0, 6.0)",,"(6.0, 8.0)",,,,7692.615887698452,5.2327113769512685e-06,89.50113481451112,0.0,0.0,0.0,50.78464790547637,-0.20189359287974806,0.0,-0.20189359287974806,89.25947601910752,57.37826372693603,0.0,0.0,0.0,50.784364424332026,-0.10646745445818688,0.0,-0.10646745445818688,57.13688841267678,,,44.7,10.0,4.0,39.1,30.0,0.137
t_motor_AT2820KV880,AT2820KV880,Motor,700.0,1.6,43.0,0.010851473392629226,3.0,20.0,63.5,0.05494857147788286,5.0,0.139,12N14P,39.0,1,"(30.0, 36.0)",45.0,4.0,880.0,59.99,35.2,3.0,"(10.0, 15.0)","(5.0, 8.0)",,"(6.0, 8.0)",,,,5712.603982763283,5.2327113769512685e-06,47.93425652273701,0.0,0.0,0.0,18.16139360797968,-0.164261946126113,0.0,-0.16426194612611322,47.776138046616765,14.543164895697554,0.0,0.0,0.0,18.160848216347688,-0.029314087660571697,0.0,-0.02931408766057192,14.385591811209299,,,35.2,20.0,5.0,63.5,43.0,0.139
kde_direct_KDE3510XF_475,KDE3510XF_475,Motor,666.0,0.2,35.0,0.0201,1.0,10.0,44.75,0.062,5.0,0.17500000000000002,12S14P,105.0,1,"(17.0, 17.0)",30.0,6.0,475.0,92.95,42.2,4.0,"(12.0, 16.0)","(4.0, 6.0)",,"(6.0, 8.0)",,,,7123.2990817924365,5.2327113769512685e-06,74.07890859039148,0.0,0.0,0.0,37.04414787745708,-0.1919904254167326,0.0,-0.19199042541673217,73.86091198291436,30.652890261443545,0.0,0.0,0.0,37.04368227829356,-0.04979724334979249,0.0,-0.04979724334979205,30.435359253129946,,,42.2,10.0,5.0,44.75,35.0,0.17500000000000002
t_motor_MN3510KV630,MN3510KV630,Motor,495.0,0.5,29.0,0.015157613627799556,2.0,10.0,37.1,0.059453052052038345,4.0,0.11900000000000001,12N14P,65.0,1,26.0,22.0,4.0,630.0,79.9,41.8,3.0,"(12.0, 14.0)","(4.0, 5.0)",,6.0,,,,6985.904602648997,5.2327113769512685e-06,75.74551779328537,0.0,0.0,0.0,39.14233639787321,-0.19040718318755978,0.0,-0.19040718318755934,75.5311925016659,47.9279769529642,0.0,0.0,0.0,39.14205232084517,-0.10151261850732338,0.0,-0.10151261850732293,47.713935738372776,,,41.8,10.0,4.0,37.1,29.0,0.11900000000000001
t_motor_MN3510KV360,MN3510KV360,Motor,330.0,0.4,29.0,0.026525823848649224,2.0,10.0,37.1,0.06117725079763944,4.0,0.117,12N14P,188.0,1,26.0,15.0,6.0,360.0,79.9,41.8,3.0,"(12.0, 16.0)","(4.0, 6.0)",,6.0,,,,6985.904602648997,5.2327113769512685e-06,75.74551779328537,0.0,0.0,0.0,39.14233639787321,-0.19040718318755978,0.0,-0.19040718318755934,75.5311925016659,48.39549864775951,0.0,0.0,0.0,39.142057095249,-0.10300664480447021,0.0,-0.10300664480446976,48.18145265876425,,,41.8,10.0,4.0,37.1,29.0,0.117
t_motor_MN3110KV780,MN3110KV780,Motor,481.0,0.4,30.0,0.012242687930145796,2.0,10.0,37.1,0.04594598907457945,4.0,0.1,12N14P,71.0,1,26.0,26.0,6.0,780.0,61.9,37.7,3.0,"(9.0, 12.0)","(3.0, 4.0)",,6.0,,,,6043.8502892191445,5.2327113769512685e-06,57.94003054704589,0.0,0.0,0.0,25.273927898278842,-0.17416940776408563,0.0,-0.17416940776408607,57.76158398830286,34.0614049132494,0.0,0.0,0.0,25.27361385002139,-0.08757297513348178,0.0,-0.08757297513348222,33.88327240276382,,,37.7,10.0,4.0,37.1,30.0,0.1
t_motor_AT2317KV880,AT2317KV880,Motor,350.0,0.9,36.0,0.010851473392629226,3.0,17.0,52.0,0.03789498885574869,4.0,0.079,12N14P,82.0,1,23.0,25.0,4.0,880.0,39.99,28.8,2.0,"(9.0, 14.0)","(4.0, 8.0)",,6.0,,,,4318.765284196598,5.2327113769512685e-06,30.60979853957744,0.0,0.0,0.0,8.553397918563288,-0.13892018544913154,0.0,-0.13892018544913154,30.498098263043257,11.82348301700412,0.0,0.0,0.0,8.552928614503925,-0.045025170198442446,0.0,-0.04502517019844243,11.7122520445293,,,28.8,17.0,4.0,52.0,36.0,0.079
t_motor_MN2212KV780,MN2212KV780,Motor,200.0,0.4,16.0,0.012242687930145796,2.0,12.0,32.6,0.029434301070491033,4.0,0.065,9N12P,173.0,1,24.0,13.0,4.0,780.0,46.9,27.5,2.0,"(8.0, 11.0)","(3.0, 4.0)",,5.0,,,,4029.661633452312,5.2327113769512685e-06,29.715814704724572,0.0,0.0,0.0,8.52221503109618,-0.1337706181870113,0.0,-0.1337706181870113,29.612591163535917,16.23748289453248,0.0,0.0,0.0,8.521880731786299,-0.06664621676324302,0.0,-0.066646216763243,16.13459365265371,,,27.5,12.0,4.0,32.6,16.0,0.065
